Time,Day,Temp,Humidity,Light_Intensity,Occupancy,Energy
07:00,Sunday,22.3,58.5,209,0,3.33
07:20,Sunday,21.4,57.8,115,0,3.73
07:40,Sunday,20.8,57.2,164,0,5.56
08:00,Sunday,21.9,55.7,530,0,4.01
08:20,Sunday,22.5,56.4,591,0,3.71
08:40,Sunday,21.3,59.3,340,0,4.45
09:00,Sunday,23.8,51.6,707,0,5.52
09:20,Sunday,23.2,55.3,726,0,3.99
09:40,Sunday,22.8,53.1,679,0,5.2
10:00,Sunday,24.7,51.1,959,0,5.4
10:20,Sunday,24.4,48.3,859,0,4.57
10:40,Sunday,23.4,50.9,847,1,6.96
11:00,Sunday,25.0,49.4,903,1,7.68
11:20,Sunday,25.2,49.3,997,0,5.51
11:40,Sunday,24.1,52.2,875,1,7.02
12:00,Sunday,24.2,48.5,1058,0,6.14
12:20,Sunday,25.8,50.1,944,0,6.56
12:40,Sunday,24.8,49.6,1057,0,5.67
13:00,Sunday,25.4,50.0,863,1,8.98
13:20,Sunday,24.5,48.5,1063,0,5.39
13:40,Sunday,24.6,50.9,993,1,7.59
14:00,Sunday,24.6,51.8,899,0,5.26
14:20,Sunday,23.6,51.9,874,0,6.0
14:40,Sunday,23.7,50.4,877,0,5.35
15:00,Sunday,23.9,55.7,602,0,5.54
15:20,Sunday,23.4,50.2,681,1,7.95
15:40,Sunday,23.8,53.0,670,0,5.28
16:00,Sunday,22.2,57.0,564,1,6.51
16:20,Sunday,23.4,54.5,413,0,3.96
16:40,Sunday,22.5,54.0,534,1,6.7
17:00,Sunday,20.7,55.4,164,0,4.91
17:20,Sunday,21.5,60.2,271,1,5.91
17:40,Sunday,20.8,56.7,323,0,4.61
18:00,Sunday,20.2,63.2,7,0,4.37
18:20,Sunday,19.6,59.0,6,1,7.0
18:40,Sunday,19.8,62.0,1,0,3.95
19:00,Sunday,18.6,64.5,7,0,4.22
19:20,Sunday,18.2,65.5,6,0,4.13
19:40,Sunday,18.3,61.0,5,0,4.79
20:00,Sunday,17.3,63.8,4,0,5.57
20:20,Sunday,18.2,62.9,5,0,3.46
20:40,Sunday,17.7,68.4,5,0,4.24
21:00,Sunday,15.8,67.4,5,0,4.7
21:20,Sunday,17.0,67.2,6,0,3.57
21:40,Sunday,16.8,62.2,3,0,3.72
22:00,Sunday,16.4,69.1,5,0,3.72
22:20,Sunday,14.8,69.6,2,0,5.48
22:40,Sunday,15.7,67.6,6,0,4.8
23:00,Sunday,15.0,69.5,4,0,4.21
23:20,Sunday,14.8,69.6,7,0,4.21
23:40,Sunday,15.7,71.5,6,0,4.12
00:00,Sunday,14.2,70.7,3,0,4.84
00:20,Sunday,15.6,69.6,2,0,5.41
00:40,Sunday,15.5,69.5,6,0,4.35
01:00,Sunday,14.5,72.5,3,0,4.43
01:20,Sunday,14.3,68.9,6,0,4.67
01:40,Sunday,16.5,70.3,8,0,4.13
02:00,Sunday,15.1,65.4,4,0,5.26
02:20,Sunday,16.1,65.3,6,0,5.17
02:40,Sunday,15.7,69.0,4,0,5.0
03:00,Sunday,16.3,66.6,4,0,4.38
03:20,Sunday,15.8,64.7,8,0,4.93
03:40,Sunday,16.9,65.4,8,0,4.23
04:00,Sunday,16.7,66.0,2,0,5.04
04:20,Sunday,17.3,65.6,1,0,4.73
04:40,Sunday,17.2,64.0,6,0,3.55
05:00,Sunday,19.4,61.7,1,0,4.29
05:20,Sunday,19.7,58.6,4,0,4.4
05:40,Sunday,18.9,61.1,6,0,4.65
06:00,Sunday,20.6,62.5,126,0,3.36
06:20,Sunday,20.4,58.2,39,0,2.93
06:40,Sunday,20.0,62.1,0,0,3.09
07:00,Monday,21.4,57.7,216,1,8.9
07:20,Monday,21.6,56.4,505,0,5.02
07:40,Monday,21.1,56.0,79,0,5.92
08:00,Monday,21.9,56.2,378,0,5.75
08:20,Monday,22.1,54.1,470,1,8.91
08:40,Monday,22.0,54.1,477,1,8.42
09:00,Monday,24.2,52.9,741,1,10.85
09:20,Monday,22.9,55.3,637,1,10.99
09:40,Monday,23.7,54.4,895,1,9.95
10:00,Monday,23.6,51.8,758,1,10.86
10:20,Monday,24.6,51.9,793,1,12.47
10:40,Monday,24.9,52.5,937,1,11.13
11:00,Monday,25.0,51.1,937,1,11.69
11:20,Monday,24.8,48.3,942,1,11.19
11:40,Monday,24.4,51.5,997,1,10.65
12:00,Monday,24.8,54.0,1000,1,10.81
12:20,Monday,24.9,49.5,1055,1,11.21
12:40,Monday,25.3,53.5,990,0,8.23
13:00,Monday,25.5,51.2,1088,1,11.99
13:20,Monday,24.4,51.7,968,1,11.03
13:40,Monday,24.4,50.1,1004,1,11.96
14:00,Monday,24.3,51.2,789,1,10.97
14:20,Monday,25.0,49.5,914,1,11.28
14:40,Monday,24.2,52.8,815,1,10.76
15:00,Monday,23.5,52.9,664,0,6.54
15:20,Monday,23.9,51.5,738,1,9.92
15:40,Monday,23.6,54.3,704,1,9.94
16:00,Monday,22.1,50.4,390,1,8.84
16:20,Monday,22.8,55.8,520,1,9.11
16:40,Monday,23.3,57.8,558,1,10.38
17:00,Monday,21.6,57.1,253,1,8.74
17:20,Monday,20.6,57.9,271,0,6.44
17:40,Monday,21.1,56.4,216,0,5.33
18:00,Monday,19.4,63.2,5,1,9.75
18:20,Monday,19.8,63.7,5,0,6.2
18:40,Monday,20.2,59.8,7,0,6.36
19:00,Monday,18.5,63.2,8,1,9.14
19:20,Monday,18.2,63.1,3,0,5.74
19:40,Monday,20.0,63.7,2,0,5.64
20:00,Monday,17.7,64.8,9,0,5.85
20:20,Monday,17.3,66.8,2,0,6.6
20:40,Monday,17.6,68.3,5,0,5.43
21:00,Monday,17.3,69.4,6,0,5.5
21:20,Monday,17.2,69.0,5,0,6.47
21:40,Monday,17.1,67.3,2,0,7.05
22:00,Monday,14.3,64.9,6,0,6.83
22:20,Monday,15.7,68.0,6,0,5.61
22:40,Monday,16.1,68.5,6,0,6.1
23:00,Monday,14.4,69.6,8,0,6.47
23:20,Monday,15.5,70.5,5,0,5.86
23:40,Monday,15.2,69.8,7,0,7.05
00:00,Monday,15.1,71.2,5,0,6.52
